[2025-06-30 18:25:35] Démarrage du bot de trading...
[2025-06-30 18:25:39] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:25:47] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:25:53] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:01] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:08] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:15] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:21] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:27] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:34] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:41] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:47] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:26:55] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:02] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:10] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:17] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:25] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:31] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:38] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:44] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:51] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:27:58] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:28:06] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:28:14] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:28:20] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:28:28] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:28:34] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
[2025-06-30 18:28:42] Solde USDT: 118266.72 | BTC: 0.000000 | Total USDT: 118266.72 | Positions ouvertes: 0
